id,author,quotestext
116,Mahummad Ali,To be able to give away riches is mandatory if you wish to possess them. This is the only way that you will be truly rich.
117,Benjamin Disraeli,"The greatest good you can do for another is not just share your riches, but reveal to them their own."
118,German proverb,Silence is a fence around wisdom.
119,Benjamin Disraeli,Ignorance never settle a question.
121,William Hazlitt,Just as much as we see in others we have in ourselves.
122,Elizabeth Browning,Light tomorrow with today!
123,Albert Einstein,"I believe that a simple and unassuming manner of life is best for everyone, best both for the body and the mind."
124,Alan Watts,No valid plans for the future can be made by those who have no capacity for living now.
125,Marcus Aurelius,"Very little is needed to make a happy life; it is all within yourself, in your way of thinking."
126,unknown,Most smiles are started by another smile.
127,Byron Pulsifer,Bold is not the act of foolishness but the attribute and inner strength to act when others will not so as to move forward not backward.
128,Mother Teresa,Peace begins with a smile.
129,Marie Curie,Be less curious about people and more curious about ideas.
130,Zig Ziglar,Positive thinking will let you do everything better than negative thinking will.
131,unknown,Change your words. Change your world.
132,Thich Nhat Hanh,"Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy."
133,Ralph Emerson,The only way to have a friend is to be one.
134,Epictetus,"When you are offended at any man's fault, turn to yourself and study your own failings. Then you will forget your anger."
135,Lee Mildon,People seldom notice old clothes if you wear a big smile.
136,Mark Twain,Wrinkles should merely indicate where smiles have been.
137,Walter Linn,"It is surprising what a man can do when he has to, and how little most men will do when they don't have to."
138,unknown,"A friend is someone who understands your past, believes in your future, and accepts you just the way you are."
139,Lao Tzu,"At the center of your being you have the answer; you know who you are and you know what you want."
140,Frederick Douglass,"I prefer to be true to myself, even at the hazard of incurring the ridicule of others, rather than to be false, and to incur my own abhorrence."
142,Buckminster Fuller,There is nothing in a caterpillar that tells you it's going to be a butterfly.
143,Confucius,"Our greatest glory is not in never falling, but in rising every time we fall."
145,unknown,"If we are facing in the right direction, all we have to do is keep on walking."
146,Frances de Sales,Nothing is so strong as gentleness. Nothing is so gentle as real strength.
147,Bruce Lee,"If you love life, don't waste time, for time is what life is made up of."
148,John Wooden,You can't let praise or criticism get to you. It's a weakness to get caught up in either one.
153,Mark Twain,"Whoever is happy will make others happy, too."
154,Napoleon Hill,Don't wait. The time will never be just right.
155,unknown,"When you don't know what you believe, everything becomes an argument. Everything is debatable. But when you stand for something, decisions are obvious."
156,Rudolf Arnheim,"All perceiving is also thinking, all reasoning is also intuition, all observation is also invention."
157,Albert Camus,All men have a sweetness in their life. That is what helps them go on. It is towards that they turn when they feel too worn out.
158,Dalai Lama,I believe that we are fundamentally the same and have the same basic potential.
